FISCAL_YEAR,CATEGORY,AGENCY,APPROPRIATED_FUND,COMPTROLLER_OBJECT,AMOUNT
2022,Operating Fund Transfers,Department of State Health Services,7639 - Tpfa Cprit Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,481,201 "
2022,Operating Fund Transfers,Employees Retirement System of Texas,"0945 - Def Compensation Trust Fd, Ers",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$901,363 "
2022,Operating Fund Transfers,General Land Office,0374 - Vlb-Veterans Financial Asst Prog Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$272,676 "
2022,Operating Fund Transfers,General Land Office,0522 - Veterans Land Program Admin Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,065,027 "
2022,Operating Fund Transfers,General Land Office,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$255,803,280 "
2022,Operating Fund Transfers,Governor-Fiscal,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$65,523,058 "
2022,Operating Fund Transfers,Governor-Fiscal,0224 - Gr Acct-Governors Ofc Federal Proj,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,198,934 "
2022,Operating Fund Transfers,Governor-Fiscal,0325 - Coronavirus Relief Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$17,563,100,513 "
2022,Operating Fund Transfers,Governor-Fiscal,0421 - Gr Acct-Crim Justice Planning,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$30,924,964 "
2022,Operating Fund Transfers,Governor-Fiscal,0588 - Small Business Incubator Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$18,852,375 "
2022,Operating Fund Transfers,Governor-Fiscal,0589 - Texas Product Development Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$25,752,747 "
2022,Operating Fund Transfers,Governor-Fiscal,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$23,973,989 "
2022,Operating Fund Transfers,Governor-Fiscal,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$63,019 "
2022,Operating Fund Transfers,Governor-Fiscal,0806 - Spaceport Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,239,534 "
2022,Operating Fund Transfers,Governor-Fiscal,0830 - Events Trust Fd For Certain Muni/Countys,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$15,966,045 "
2022,Operating Fund Transfers,Governor-Fiscal,0869 - Major Events Reimbursement Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$4,913,817 "
2022,Operating Fund Transfers,Governor-Fiscal,5003 - Gr Acct-Hotel Occ Tax For Economic Devel,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$109,914,381 "
2022,Operating Fund Transfers,Governor-Fiscal,5010 - Gr Acct - Sexual Assault Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,934,472 "
2022,Operating Fund Transfers,Governor-Fiscal,5012 - Gr Acct - Crime Stoppers Assistance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,669,549 "
2022,Operating Fund Transfers,Governor-Fiscal,5106 - Gr Acct - Economic Dev Bank,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$17,299,697 "
2022,Operating Fund Transfers,Governor-Fiscal,5107 - Gr Acct - Texas Enterprise,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$321,626,617 "
2022,Operating Fund Transfers,Governor-Fiscal,5114 - Gr Acct-Tx Military Value Revolving Loan,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,400 "
2022,Operating Fund Transfers,Governor-Fiscal,5153 - Gr Acct-Emergency Radio Infrastructure,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$20,525,805 "
2022,Operating Fund Transfers,Governor-Fiscal,5161 - Gr-Acct Governor'S Univ Research Initive,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$92,359,975 "
2022,Operating Fund Transfers,Governor-Fiscal,5164 - Gr Acct-Youth Diversion,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$12,729,148 "
2022,Operating Fund Transfers,Governor-Fiscal,5170 - Gr Acct-Evidence Testing,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,751,002 "
2022,Operating Fund Transfers,Governor-Fiscal,5174 - Gr Acct-Drug Court,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$19,578 "
2022,Operating Fund Transfers,Governor-Fiscal,5184 - Gr Account - Specialty Court,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,727,551 "
2022,Operating Fund Transfers,Health and Human Services Commission,0107 - Gr Acct-Comprehensive Rehabilitation,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,038,968 "
2022,Operating Fund Transfers,Health and Human Services Commission,0129 - Gr Acct-Hospital Licensing,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$74,557,720 "
2022,Operating Fund Transfers,Health and Human Services Commission,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$130,917,828 "
2022,Operating Fund Transfers,Health and Human Services Commission,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,490 "
2022,Operating Fund Transfers,Health and Human Services Commission,0857 - Assisted Living Facility Trust Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$500,000 "
2022,Operating Fund Transfers,Health and Human Services Commission,0992 - Nursing/Convales Home Trst Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,000,000 "
2022,Operating Fund Transfers,Health and Human Services Commission,5010 - Gr Acct - Sexual Assault Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$453,967 "
2022,Operating Fund Transfers,Health and Human Services Commission,5018 - Gr Acct - Home Health Services,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$14,512,513 "
2022,Operating Fund Transfers,Health and Human Services Commission,7658 - Tpfa Go Cml Paper Ser2008 Dads Prj 1b Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$123,298 "
2022,Operating Fund Transfers,Health and Human Services Commission,7660 - Tpfa Go Cml Paper Ser2008 Dshs Prj 1d Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$119,948 "
2022,Operating Fund Transfers,Health and Human Services Commission,7802 - Tpfa Rv Com Pap Srs 2019a Hhsc Def Maint,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,000,000 "
2022,Operating Fund Transfers,Lamar State College-Orange,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,472,000 "
2022,Operating Fund Transfers,Lamar University,0325 - Coronavirus Relief Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$600,000 "
2022,Operating Fund Transfers,Lamar University,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,700,000 "
2022,Operating Fund Transfers,Parks and Wildlife Department,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$15,653 "
2022,Operating Fund Transfers,Parks and Wildlife Department,"0009 - Gr Account-Game, Fish, Water Safety",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"($9,383,675)"
2022,Operating Fund Transfers,Parks and Wildlife Department,0064 - Gr Acct-State Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"($8,878,956)"
2022,Operating Fund Transfers,Parks and Wildlife Department,0223 - Gr Acct-Fed Land/Water Conservation,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$43,535 "
